articleType,image_count
Tshirts,7066
Shirts,3215
Casual Shoes,2845
Watches,2542
Sports Shoes,2036
Kurtas,1844
Tops,1762
Handbags,1759
Heels,1323
Sunglasses,1073
Wallets,936
Flip Flops,914
Sandals,897
Briefs,849
Belts,813
Backpacks,724
Socks,686
Formal Shoes,637
Perfume and Body Mist,613
Jeans,608
Shorts,547
Trousers,530
Flats,500
Bra,477
Dresses,464
Sarees,427
Earrings,416
Deodorant,347
Nail Polish,329
Lipstick,315
Track Pants,304
Clutches,290
Sweatshirts,285
Caps,283
Sweaters,277
Ties,263
Jackets,258
Innerwear Vests,242
Kurtis,234
Tunics,229
Nightdress,189
Leggings,177
Pendant,176
Capris,175
Necklace and Chains,160
Lip Gloss,144
Night suits,141
Trunk,140
Skirts,128
Scarves,119
Ring,118
Dupatta,116
Cufflinks,106
Kajal and Eyeliner,102
Accessory Gift Set,97
Kurta Sets,94
Free Gifts,91
Stoles,90
Duffel Bag,88
Bangle,85
Laptop Bag,82
Foundation and Primer,76
Sports Sandals,67
Bracelet,66
Face Moisturisers,61
Lounge Pants,61
Jewellery Set,58
Fragrance Gift Set,57
Highlighter and Blush,53
Boxers,52
Compact,49
Lip Liner,48
Mobile Pouch,47
Messenger Bag,44
Eyeshadow,42
Suspenders,40
Camisoles,39
Mufflers,38
Patiala,38
Lounge Shorts,34
Jeggings,34
Stockings,32
Salwar,32
Churidar,30
Tracksuits,29
Face Wash and Cleanser,28
Sunscreen,25
Shoe Accessories,23
Gloves,20
Bath Robe,20
Hair Colour,19
Rain Jacket,18
Waist Pouch,17
Swimwear,17
Lip Care,16
Travel Accessory,16
Jumpsuit,16
Baby Dolls,16
Waistcoat,15
Mascara,13
Basketballs,13
Mask and Peel,12
Rompers,12
Booties,12
Concealer,11
Rucksacks,11
Water Bottle,11
Tights,9
Shapewear,9
Clothing Set,8
Blazers,8
Footballs,8
Wristbands,7
Headband,7
Salwar and Dupatta,7
Shrug,6
Umbrellas,6
Body Lotion,6
Eye Cream,6
Nail Essentials,6
Nehru Jackets,5
Toner,5
Face Scrub and Exfoliator,5
Robe,4
Lip Plumper,4
Beauty Accessory,4
Lehenga Choli,4
Makeup Remover,4
Trolley Bag,3
Tablet Sleeve,3
Lounge Tshirts,3
Hat,3
