image_path,class_id
data\raw\images\35985.jpg,17
data\raw\images\1845.jpg,17
data\raw\images\4195.jpg,17
data\raw\images\12535.jpg,17
data\raw\images\5177.jpg,17
data\raw\images\31270.jpg,17
data\raw\images\36199.jpg,17
data\raw\images\19605.jpg,17
data\raw\images\2153.jpg,17
data\raw\images\10878.jpg,17
data\raw\images\48259.jpg,17
data\raw\images\9687.jpg,17
data\raw\images\31466.jpg,17
data\raw\images\54940.jpg,17
data\raw\images\31246.jpg,17
data\raw\images\19108.jpg,17
data\raw\images\35277.jpg,17
data\raw\images\14077.jpg,17
data\raw\images\31234.jpg,17
data\raw\images\16644.jpg,17
data\raw\images\4308.jpg,17
data\raw\images\19670.jpg,17
data\raw\images\35889.jpg,17
data\raw\images\3317.jpg,17
data\raw\images\7568.jpg,17
data\raw\images\16931.jpg,17
data\raw\images\26272.jpg,17
data\raw\images\34413.jpg,17
data\raw\images\18934.jpg,17
data\raw\images\27443.jpg,17
data\raw\images\18991.jpg,17
data\raw\images\42585.jpg,17
data\raw\images\34682.jpg,17
data\raw\images\32482.jpg,17
data\raw\images\12803.jpg,17
data\raw\images\19403.jpg,17
data\raw\images\20174.jpg,12
data\raw\images\11106.jpg,12
data\raw\images\9260.jpg,12
data\raw\images\19199.jpg,12
data\raw\images\12260.jpg,12
data\raw\images\17551.jpg,12
data\raw\images\16362.jpg,12
data\raw\images\36605.jpg,12
data\raw\images\5945.jpg,12
data\raw\images\8160.jpg,12
data\raw\images\27855.jpg,12
data\raw\images\12914.jpg,12
data\raw\images\8166.jpg,12
data\raw\images\10440.jpg,12
data\raw\images\19696.jpg,12
data\raw\images\17163.jpg,12
data\raw\images\19711.jpg,12
data\raw\images\57294.jpg,12
data\raw\images\12014.jpg,12
data\raw\images\15913.jpg,12
data\raw\images\22398.jpg,12
data\raw\images\8943.jpg,12
data\raw\images\17538.jpg,12
data\raw\images\13763.jpg,12
data\raw\images\8195.jpg,12
data\raw\images\11101.jpg,12
data\raw\images\57281.jpg,12
data\raw\images\11051.jpg,12
data\raw\images\14645.jpg,12
data\raw\images\18319.jpg,12
data\raw\images\53159.jpg,12
data\raw\images\10404.jpg,12
data\raw\images\11042.jpg,12
data\raw\images\8162.jpg,12
data\raw\images\16407.jpg,12
data\raw\images\9426.jpg,12
data\raw\images\16046.jpg,12
data\raw\images\17548.jpg,12
data\raw\images\33061.jpg,12
data\raw\images\11708.jpg,12
data\raw\images\26659.jpg,3
data\raw\images\30255.jpg,3
data\raw\images\14566.jpg,3
data\raw\images\24190.jpg,3
data\raw\images\4072.jpg,3
data\raw\images\17693.jpg,3
data\raw\images\44936.jpg,3
data\raw\images\26458.jpg,3
data\raw\images\39971.jpg,3
data\raw\images\14490.jpg,3
data\raw\images\20716.jpg,3
data\raw\images\22243.jpg,3
data\raw\images\34079.jpg,3
data\raw\images\43887.jpg,3
data\raw\images\17698.jpg,3
data\raw\images\2832.jpg,3
data\raw\images\22704.jpg,3
data\raw\images\57511.jpg,3
data\raw\images\38545.jpg,3
data\raw\images\17699.jpg,3
data\raw\images\22837.jpg,3
data\raw\images\42019.jpg,3
data\raw\images\47246.jpg,3
data\raw\images\22157.jpg,3
data\raw\images\55628.jpg,3
data\raw\images\22178.jpg,3
data\raw\images\12824.jpg,3
data\raw\images\24718.jpg,3
data\raw\images\29570.jpg,3
data\raw\images\36469.jpg,3
data\raw\images\7039.jpg,3
data\raw\images\44740.jpg,3
data\raw\images\22729.jpg,3
data\raw\images\36415.jpg,3
data\raw\images\6356.jpg,3
data\raw\images\3551.jpg,3
data\raw\images\15241.jpg,3
data\raw\images\29762.jpg,19
data\raw\images\25603.jpg,19
data\raw\images\44984.jpg,19
data\raw\images\25671.jpg,19
data\raw\images\17419.jpg,19
data\raw\images\41050.jpg,19
data\raw\images\36779.jpg,19
data\raw\images\31821.jpg,19
data\raw\images\26332.jpg,19
data\raw\images\36787.jpg,19
data\raw\images\17454.jpg,19
data\raw\images\54634.jpg,19
data\raw\images\32374.jpg,19
data\raw\images\25612.jpg,19
data\raw\images\45200.jpg,19
data\raw\images\58452.jpg,19
data\raw\images\46565.jpg,19
data\raw\images\46524.jpg,19
data\raw\images\31829.jpg,19
data\raw\images\10329.jpg,19
data\raw\images\19280.jpg,19
data\raw\images\31844.jpg,19
data\raw\images\10394.jpg,19
data\raw\images\46541.jpg,19
data\raw\images\22943.jpg,19
data\raw\images\23517.jpg,19
data\raw\images\49902.jpg,19
data\raw\images\8146.jpg,19
data\raw\images\17418.jpg,19
data\raw\images\29447.jpg,19
data\raw\images\21696.jpg,19
data\raw\images\8133.jpg,19
data\raw\images\15314.jpg,14
data\raw\images\13178.jpg,14
data\raw\images\26449.jpg,14
data\raw\images\5360.jpg,14
data\raw\images\6149.jpg,14
data\raw\images\5350.jpg,14
data\raw\images\42087.jpg,14
data\raw\images\44638.jpg,14
data\raw\images\9431.jpg,14
data\raw\images\8072.jpg,14
data\raw\images\39626.jpg,14
data\raw\images\12714.jpg,14
data\raw\images\31977.jpg,14
data\raw\images\42991.jpg,14
data\raw\images\8302.jpg,14
data\raw\images\7838.jpg,14
data\raw\images\13205.jpg,14
data\raw\images\29224.jpg,14
data\raw\images\5042.jpg,14
data\raw\images\18593.jpg,14
data\raw\images\17732.jpg,14
data\raw\images\34837.jpg,14
data\raw\images\4571.jpg,14
data\raw\images\7830.jpg,14
data\raw\images\6641.jpg,14
data\raw\images\17748.jpg,14
data\raw\images\11927.jpg,14
data\raw\images\9133.jpg,14
data\raw\images\33838.jpg,14
data\raw\images\18417.jpg,14
data\raw\images\54542.jpg,14
data\raw\images\5359.jpg,14
data\raw\images\41822.jpg,14
data\raw\images\4560.jpg,14
data\raw\images\53413.jpg,9
data\raw\images\39163.jpg,9
data\raw\images\42536.jpg,9
data\raw\images\21877.jpg,9
data\raw\images\15844.jpg,9
data\raw\images\24359.jpg,9
data\raw\images\54572.jpg,9
data\raw\images\50352.jpg,9
data\raw\images\24385.jpg,9
data\raw\images\40652.jpg,9
data\raw\images\33038.jpg,9
data\raw\images\24361.jpg,9
data\raw\images\59930.jpg,9
data\raw\images\7412.jpg,9
data\raw\images\32224.jpg,9
data\raw\images\25852.jpg,9
