image_id,image_path,articleType,class_id,split
15970,/content/product_visual_search/data/raw/images/15970.jpg,Shirts,96,train
39386,/content/product_visual_search/data/raw/images/39386.jpg,Jeans,51,train
59263,/content/product_visual_search/data/raw/images/59263.jpg,Watches,129,train
21379,/content/product_visual_search/data/raw/images/21379.jpg,Track Pants,117,train
53759,/content/product_visual_search/data/raw/images/53759.jpg,Tshirts,123,train
1855,/content/product_visual_search/data/raw/images/1855.jpg,Tshirts,123,val
30805,/content/product_visual_search/data/raw/images/30805.jpg,Shirts,96,train
26960,/content/product_visual_search/data/raw/images/26960.jpg,Shirts,96,test
29114,/content/product_visual_search/data/raw/images/29114.jpg,Socks,101,train
30039,/content/product_visual_search/data/raw/images/30039.jpg,Watches,129,train
9204,/content/product_visual_search/data/raw/images/9204.jpg,Casual Shoes,18,val
48123,/content/product_visual_search/data/raw/images/48123.jpg,Belts,7,val
18653,/content/product_visual_search/data/raw/images/18653.jpg,Flip Flops,36,val
47957,/content/product_visual_search/data/raw/images/47957.jpg,Handbags,44,val
46885,/content/product_visual_search/data/raw/images/46885.jpg,Flip Flops,36,val
12369,/content/product_visual_search/data/raw/images/12369.jpg,Shirts,96,val
29928,/content/product_visual_search/data/raw/images/29928.jpg,Watches,129,train
42419,/content/product_visual_search/data/raw/images/42419.jpg,Tops,116,train
51832,/content/product_visual_search/data/raw/images/51832.jpg,Bra,12,train
47359,/content/product_visual_search/data/raw/images/47359.jpg,Handbags,44,train
17429,/content/product_visual_search/data/raw/images/17429.jpg,Watches,129,test
12967,/content/product_visual_search/data/raw/images/12967.jpg,Sandals,92,train
6842,/content/product_visual_search/data/raw/images/6842.jpg,Shoe Accessories,97,train
13089,/content/product_visual_search/data/raw/images/13089.jpg,Sweatshirts,110,val
18461,/content/product_visual_search/data/raw/images/18461.jpg,Deodorant,25,train
9036,/content/product_visual_search/data/raw/images/9036.jpg,Formal Shoes,38,train
48311,/content/product_visual_search/data/raw/images/48311.jpg,Bracelet,13,train
7990,/content/product_visual_search/data/raw/images/7990.jpg,Tshirts,123,train
56019,/content/product_visual_search/data/raw/images/56019.jpg,Lipstick,66,train
21977,/content/product_visual_search/data/raw/images/21977.jpg,Handbags,44,train
37812,/content/product_visual_search/data/raw/images/37812.jpg,Shirts,96,test
4729,/content/product_visual_search/data/raw/images/4729.jpg,Tshirts,123,train
56825,/content/product_visual_search/data/raw/images/56825.jpg,Shirts,96,train
39988,/content/product_visual_search/data/raw/images/39988.jpg,Casual Shoes,18,train
59051,/content/product_visual_search/data/raw/images/59051.jpg,Flats,35,val
20099,/content/product_visual_search/data/raw/images/20099.jpg,Kurtas,57,train
